HyPer/SF1,T1,T2,T4,T8,T16,T32,T64
q1,132.3,67.1,35.7,29.7,38.1,42,43.5
q2,14.3,12.4,11.7,11.6,11.5,11.3,12.3
q3,136.5,78.4,46.6,30.7,31.5,35.4,38.6
q4,101.1,53.5,30.6,19.7,15.5,17.9,18.4
q5,97.3,51.8,31.2,20.7,17.1,17.7,20.2
q6,41,23.1,13.5,10.9,14.3,16.9,14.5
q7,105,57.4,34.4,23,19.6,23.4,24.9
q8,107.2,51.4,27.5,16.9,13.5,14.7,22.7
q9,364.4,179.4,106.3,67.2,50.2,49.5,61.5
q10,126.5,76.2,47.9,31.8,26.8,29.8,31.7
q11,19.3,16.6,17.7,20.4,17.2,13.5,15
q12,101.2,58.9,33.5,20.5,17.2,24.5,41.5
q13,543.4,395.9,250.1,132.8,81.6,85.7,89.9
q14,52,26.7,11.1,6.9,4.5,4.2,4.5
q15,60.1,37,22.2,15.4,15.9,18.5,20.4
q16,199.6,201.7,188.6,181.8,184.8,191.1,193.4
q17,107.1,58.9,104.7,23.9,23,45.5,24.8
q18,471.1,236.1,143.9,94.1,63.2,59.4,70.3
q19,322.1,186.2,97.9,61.6,49.3,59.3,66
q20,53.5,29.2,19.3,15.9,16.4,17.7,20.5
q21,221.5,117.6,72.5,52,45.5,45.6,47.5
q22,33.8,21.5,19.9,17.7,14.7,16.8,17.7
